,employee_id,last_name,E_MAIL,rfc_number,submit_date_ut,ACTION_LABEL_EN
0,8592,Fran_vre_8592,E_MAIL_8592@company.com,S1611-1252,2016-11-25 17:30:07.930,Creation
1,8592,Fran_vre_8592,E_MAIL_8592@company.com,S1611-1252,2016-11-25 17:30:07.930,Drafts
2,8592,Fran_vre_8592,E_MAIL_8592@company.com,S1611-1252,2016-11-25 17:30:07.930,Notification prise en compte demandeur
3,8592,Fran_vre_8592,E_MAIL_8592@company.com,S1611-1252,2016-11-25 17:30:07.930,Processing your request
4,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1251,2016-11-25 16:37:10.537,Creation
5,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1251,2016-11-25 16:37:10.537,Drafts
6,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1251,2016-11-25 16:37:10.537,Notification prise en compte demandeur
7,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1251,2016-11-25 16:37:10.537,Processing your request
8,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1250,2016-11-25 16:14:58.020,Creation
9,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1250,2016-11-25 16:14:58.020,Drafts
10,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1250,2016-11-25 16:14:58.020,Notification prise en compte demandeur
11,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1250,2016-11-25 16:14:58.020,Processing your request
12,676,Jere_son_676,E_MAIL_676@company.com,I1611-1057,2016-11-25 15:48:28.000,Call
13,676,Jere_son_676,E_MAIL_676@company.com,I1611-1057,2016-11-25 15:48:28.000,Requestor notification
14,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Call
15,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Requestor notification
16,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Analyse et résolution
17,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Send Email
18,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Fermeture du ticket
19,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Validation demandeur
20,162,Pasc_ult_162,E_MAIL_162@company.com,I1611-1056,2016-11-25 15:23:48.000,Send Email
21,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Creation
22,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Drafts
23,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Notification prise en compte demandeur
24,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Processing your request
25,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Vérification
26,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Validation demandeur
27,3448,Math_eur_3448,E_MAIL_3448@company.com,S1611-1248,2016-11-25 15:22:18.217,Send Email
